sample	Niche	treatment	group
CK.O.5	Original	CK	CK.O
M.O.1	Original	M	M.O
M.O.2	Original	M	M.O
M.O.3	Original	M	M.O
M.O.4	Original	M	M.O
M.O.5	Original	M	M.O
NPK.O.1	Original	NPK	NPK.O
NPK.O.2	Original	NPK	NPK.O
NPK.O.3	Original	NPK	NPK.O
NPK.O.4	Original	NPK	NPK.O
NPK.O.5	Original	NPK	NPK.O
N0.O.1	Original	N0	N0.O
N0.O.2	Original	N0	N0.O
N0.O.3	Original	N0	N0.O
N0.O.4	Original	N0	N0.O
N0.O.5	Original	N0	N0.O
N2.O.1	Original	N2	N2.O
N2.O.2	Original	N2	N2.O
N2.O.3	Original	N2	N2.O
N2.O.4	Original	N2	N2.O
N2.O.5	Original	N2	N2.O
N4.O.1	Original	N4	N4.O
N4.O.2	Original	N4	N4.O
N4.O.3	Original	N4	N4.O
N4.O.4	Original	N4	N4.O
N4.O.5	Original	N4	N4.O
N6.O.1	Original	N6	N6.O
N6.O.2	Original	N6	N6.O
N6.O.3	Original	N6	N6.O
N6.O.4	Original	N6	N6.O
N6.O.5	Original	N6	N6.O
